Key,subtask,issue_id,Parent_id,Summary,Issue Type,Status,Priority,Sprint,Rank
AS-1023,AS-1052,1,,Design: Replace white AutoTrader.com logo on startup screen with full color logo,Story,Closed,Normal,v1.2 - Sprint 2,61123
AS-1027,"AS-1042, AS-1043, AS-1053, AS-1054, AS-1055, AS-1056, AS-1085",2,,VDP: Redesign the core experience,Story,Closed,Normal,v1.2 - Sprint 2,61120
AS-1028,"AS-902, AS-1044, AS-1045, AS-1050, AS-1051",3,,"VDP: As a user, I can see thumbnails of all photos available to quick jump",Story,Closed,Normal,v1.2 - Sprint 2,61121
AS-1029,"AS-1038, AS-1039, AS-1060, AS-1061, AS-1062",4,,Settings: Add Privacy Policy to settings page,Story,Closed,Normal,v1.2 - Sprint 2,61124
AS-103,"AS-132, AS-133, AS-135, AS-136",5,,Global Nav: User can view and access side nav to navigate to a space within the application,Story,Closed,Normal,Sprint 1,56445
AS-104,,6,,Home: User can access Advanced Search to use more detailed search features,Story,New,Normal,None,61073
AS-105,"AS-160, AS-161, AS-162, AS-163",7,,"Home: User can access ""I'm Considering"" section to view previously saved materials",Story,Closed,Normal,Sprint 1,56448
AS-106,,8,,"Home: User can Discovery by: Features to access Feature section to find models, brands, listings and articles by Features",Story,Closed,Normal,Sprint 1,56444
AS-107,,9,,Home: User can access Education material to learn more about the car buying process,Story,New,Normal,None,61088
AS-108,"AS-127, AS-129, AS-130, AS-145, AS-146, AS-147, AS-148, AS-174",10,,Home: User can see Recommended Reviews to read more about cars,Story,Closed,Normal,Sprint 1,56446
AS-1089,,11,,"iPad - As a user, I want to be able to opt in to receive SMS or Email alerts for each of my saved cars and searches",Story,New,Normal,None,56886
AS-109,,12,,"Home: As a User, I can see Dealers Specials to help discover and choose a dealer to work with",Story,New,Normal,None,61081
AS-110,"AS-131, AS-149, AS-150, AS-151, AS-152, AS-153, AS-173",13,,Home: User can see Popular Models from Showroom to explore models,Story,New,Normal,None,61080
AS-111,,14,,Home: User can view Recommended Articles about Saved Vehicles,Story,New,Normal,None,61095
AS-112,,15,,"Global Nav: Recently Viewed: As a user, I want the app to keep track of listings that I have recently viewed.",Story,New,Low,None,56909
AS-1120,"AS-1363, AS-1364, AS-1365, AS-1366, AS-1368, AS-1369, AS-1378, AS-1379, AS-1380",16,,"iPhone - SRP: As a user, I want to view inventory from AutoTrader.com in a List View",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 1,86323
AS-1121,"AS-1367, AS-1370, AS-1371, AS-1372, AS-1373, AS-1374",17,,"iPhone - SRP: As a user, I want to sort my results by various options",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 1,86324
AS-1122,"AS-1305, AS-1340",18,,"iPhone - Home: As a user, I want to give permission to use my current location to find cars near me",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 0,2313
AS-1123,"AS-1375, AS-1376",19,,"iPhone - SRP: As a user, I can refresh my results in case new content is added",Story,Closed,Normal,Mobile 2.5 (iPhone) - Sprint 1,86325
AS-1124,"AS-1425, AS-1428",20,,"iPhone - SRP: Filter: As a user, I can filter based on Listing Features to narrow my search",Story,Closed,Normal,"Sprint 2, Mobile 2.5 (iPhone) - Sprint 2",86362
AS-1125,"AS-1421, AS-1424",21,,"iPhone - SRP: Filter: As a user, I can filter based on Style to narrow my search",Story,Closed,Normal,"Sprint 2, Mobile 2.5 (iPhone) - Sprint 2",86360
AS-1126,"AS-1410, AS-1411, AS-1412, AS-1413, AS-1414",22,,"iPhone - SRP: Filter: As a user, I can filter based on Year, Make, Model",Story,Closed,Normal,"Sprint 2, Mobile 2.5 (iPhone) - Sprint 3",86332
AS-1127,"AS-1415, AS-1416, AS-1419",23,,iPhone - SRP: Filter: As a user I can set Price options to narrow my search,Story,Closed,Normal,"Sprint 2, Mobile 2.5 (iPhone) - Sprint 2",86359
AS-1128,"AS-1433, AS-1435, AS-1436, AS-1438",24,,"iPhone - SRP: Filter: As a user, I can enter Keyword Search to filter my search by seller-provided description",Story,Closed,Normal,"Sprint 2, Mobile 2.5 (iPhone) - Sprint 3",86334
AS-1130,"AS-1422, AS-1427",25,,"iPhone - SRP: Filter: As a user, I can filter based on Seller type and Listing type",Story,Closed,Normal,"Sprint 2, Mobile 2.5 (iPhone) - Sprint 2",86361
AS-1138,"AS-1398, AS-1399, AS-1400, AS-1401, AS-1402, AS-1403, AS-1406, AS-1437",26,,"iPhone - SRP: Filter: As a user, I can view the list of filter options to narrow my search",Story,Closed,Normal,"Sprint 3, Mobile 2.5 (iPhone) - Sprint 2",86357
AS-1139,,27,,iPhone - VDP: As a user I can view a full inline VDP while using List (Discuss this with ERIC),Story,Closed,Low,Sprint 3,86432
AS-114,,28,,Brand Hub: User can use the Brand Hub to preview content about several Brands,Story,New,Normal,None,61069
AS-1140,"AS-1559, AS-1566, AS-1567",29,,iPhone - VDP: User can view Dealership information to contact dealer,Story,Closed,Normal,"Sprint 3, Mobile 2.5 (iPhone) - Sprint 4",86369
AS-1141,"AS-1548, AS-1558",30,,iPhone - VDP: User can view vehicle history report so they can assess any damage or risks,Story,Closed,Normal,"Sprint 3, Mobile 2.5 (iPhone) - Sprint 4",86368
AS-1146,"AS-1555, AS-1562",31,,iPhone - VDP: As a user I can view full Vehicle Details from SRP listing,Story,Closed,Normal,"Sprint 3, Mobile 2.5 (iPhone) - Sprint 4",86365
AS-115,,32,,Lifestyle Center: User can use Lifestyle Hub to browse lifestyle segments and see related content,Story,New,Normal,None,61086
AS-1152,"AS-1429, AS-1430, AS-1431, AS-1432, AS-1434",33,,"iPhone - SRP: Filters: As a user, I can select Premium Features to find cars with these features",Story,Closed,Normal,"Sprint 4, Mobile 2.5 (iPhone) - Sprint 3",86335
AS-1153,"AS-1407, AS-1408",34,,iPhone - SRP: Clear individual Filters from SRP views,Story,Closed,Normal,"Sprint 4, Mobile 2.5 (iPhone) - Sprint 2",86358
AS-1154,"AS-1550, AS-1551, AS-1553, AS-1557, AS-1565, AS-1593",35,,"iPhone - VDP: As a user, I can tap the Image (or Video) in the VDP to view the Images in full screen",Story,Closed,Normal,"Sprint 4, Mobile 2.5 (iPhone) - Sprint 4",86367
AS-1155,"AS-1356, AS-1357, AS-1358, AS-1359, AS-1360, AS-1361, AS-1377",36,,"iPhone - myATC: Sign In: As a user, I can sign in with my existing myATC account in order to view previously saved items",Story,Closed,Normal,"Sprint 4, Mobile 2.5 (iPhone) - Sprint 1",86322
